"filename", "language", "JavaScript", "Less", "HTML", "JSON", "Markdown", "TypeScript", "Handlebars", "Properties", "Log", "SQL", "Pug", "comment", "blank", "total"
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/fakeProds.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/info.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/login.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/loginError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/logout.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/register.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/registerError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/routes/router1.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 84
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/routes/routerChild.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/serverAPIRandom.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 67
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/7651.0x/flamegraph.html", "HTML", 0, 0, 11993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1943, 13936
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/7651.0x/isolate-0x130040000-7651-7651-v8.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 47669, 0, 0, 0, 1, 47670
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/7651.0x/isolate-0x130040000-7651-7651-v8.log.json", "JSON", 0, 0, 0, 660289, 0, 0, 0, 0, 0, 0, 0, 0, 1, 660290
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/7651.0x/meta.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/benchmark.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/config/firestoreConfig.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/desafioClase32.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 173
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/error.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/lib/log4js.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/lib/pasport.lib.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/models/user.model.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/persistance.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/client.socket.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 75
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/fakeProds.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/info.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/login.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/loginError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/logout.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/register.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/registerError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/routes/router1.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 108
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/routes/routerChild.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/serverAPIRandom.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 67
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/warn.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/yesLog.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 24461, 0, 0, 0, 1, 24462
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/benchmark.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/config/firestoreConfig.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/desafioClase34.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 173
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/error.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/lib/log4js.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 34/lib/pasport.lib.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
